goos: windows
goarch: amd64
pkg: github.com/go-gen-ecosystem/halolog/masking
cpu: Intel(R) Core(TM) Ultra 9 285HX
BenchmarkEncryptionWorkloads/bytes65536/decrypt=false-8     	    3762	     61516 ns/op	1065.35 MB/s	  409616 B/op	       6 allocs/op
BenchmarkEncryptionWorkloads/bytes65536/decrypt=false-8     	    3667	     61487 ns/op	1065.85 MB/s	  409616 B/op	       6 allocs/op
BenchmarkEncryptionWorkloads/bytes65536/decrypt=false-8     	    3814	     60649 ns/op	1080.58 MB/s	  409616 B/op	       6 allocs/op
BenchmarkEncryptionWorkloads/bytes65536/decrypt=true-8      	    5269	     54505 ns/op	1202.39 MB/s	  204800 B/op	       3 allocs/op
BenchmarkEncryptionWorkloads/bytes65536/decrypt=true-8      	    5344	     48781 ns/op	1343.48 MB/s	  204800 B/op	       3 allocs/op
BenchmarkEncryptionWorkloads/bytes65536/decrypt=true-8      	    5066	     54116 ns/op	1211.03 MB/s	  204800 B/op	       3 allocs/op
BenchmarkEncryptionWorkloads/bytes65536/decrypt=true-8      	    5337	     53265 ns/op	1230.38 MB/s	  204800 B/op	       3 allocs/op
BenchmarkEncryptionWorkloads/bytes65536/decrypt=true-8      	    5274	     52584 ns/op	1246.31 MB/s	  204800 B/op	       3 allocs/op
PASS
ok  	github.com/go-gen-ecosystem/halolog/masking	14.831s
