goos: windows
goarch: amd64
pkg: github.com/go-gen-ecosystem/halolog/masking
cpu: Intel(R) Core(TM) Ultra 9 285HX
BenchmarkEncryptionWorkloads/bytes65536/decrypt=false-8     	    4885	     49270 ns/op	1330.14 MB/s	  245761 B/op	       2 allocs/op
BenchmarkEncryptionWorkloads/bytes65536/decrypt=false-8     	    4707	     49987 ns/op	1311.05 MB/s	  245760 B/op	       2 allocs/op
BenchmarkEncryptionWorkloads/bytes65536/decrypt=false-8     	    4851	     49163 ns/op	1333.04 MB/s	  245761 B/op	       2 allocs/op
BenchmarkEncryptionWorkloads/bytes65536/decrypt=true-8      	    5554	     41697 ns/op	1571.71 MB/s	  139264 B/op	       2 allocs/op
BenchmarkEncryptionWorkloads/bytes65536/decrypt=true-8      	    5756	     44973 ns/op	1457.24 MB/s	  139264 B/op	       2 allocs/op
BenchmarkEncryptionWorkloads/bytes65536/decrypt=true-8      	    5804	     47308 ns/op	1385.31 MB/s	  139264 B/op	       2 allocs/op
BenchmarkEncryptionWorkloads/bytes65536/decrypt=true-8      	    6009	     45945 ns/op	1426.40 MB/s	  139264 B/op	       2 allocs/op
BenchmarkEncryptionWorkloads/bytes65536/decrypt=true-8      	    5200	     43134 ns/op	1519.38 MB/s	  139264 B/op	       2 allocs/op
PASS
ok  	github.com/go-gen-ecosystem/halolog/masking	15.762s
