"Suite","Benchmark","BeforeNs","AfterNs","DeltaPct","BeforeB","AfterB","BeforeAlloc","AfterAlloc","BeforeMin","BeforeMax","AfterMin","AfterMax"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkOptimizedJSONFormatter_PurePerformance-8","16.83","10.35","-38.5","0","0","0","0","16.04","17.96","8.121","14.27"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkOptimizedJSONFormatter_SimpleInfo-8","7.899","7.862","-0.47","0","0","0","0","7.789","7.966","7.754","7.923"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkOptimizedJSONFormatter_SimpleInfoWithFile-8","15.35","15.46","0.72","0","0","0","0","15.15","15.38","15.21","15.65"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkOptimizedJSONFormatter_StringEscaping/Backslash-8","42.15","35.01","-16.94","0","0","0","0","41.25","45.47","33.33","42.33"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkOptimizedJSONFormatter_StringEscaping/Complex-8","101.4","78.47","-22.61","0","0","0","0","90.97","104.2","64.65","92.84"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkOptimizedJSONFormatter_StringEscaping/Mixed-8","49.68","36.42","-26.69","0","0","0","0","49.19","54.7","35.87","42.15"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkOptimizedJSONFormatter_StringEscaping/Newline-8","43.7","30.47","-30.27","0","0","0","0","37.42","51.52","29.22","36.26"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkOptimizedJSONFormatter_StringEscaping/NoEscape-8","19.86","14.72","-25.88","0","0","0","0","16.76","19.86","9.348","16.23"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkOptimizedJSONFormatter_StringEscaping/Quote-8","39.58","44.02","11.22","0","0","0","0","35.15","40.52","33.52","44.4"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkOptimizedJSONFormatter_StringEscaping/Tab-8","46.47","31.68","-31.83","0","0","0","0","29.61","47.25","30.92","50.77"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkOptimizedJSONFormatter_VariousMessageSizes/Large-8","42.42","39.14","-7.73","0","0","0","0","41.68","46.46","38.43","57.25"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkOptimizedJSONFormatter_VariousMessageSizes/Medium-8","21.95","16.51","-24.78","0","0","0","0","18.55","30.66","16.17","18.41"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkOptimizedJSONFormatter_VariousMessageSizes/Small-8","15.58","13.89","-10.85","0","0","0","0","14.74","17.71","11.85","14.76"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkOptimizedJSONFormatter_VariousMessageSizes/Tiny-8","13.48","13.1","-2.82","0","0","0","0","11.71","14.41","12.91","13.62"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkOptimizedJSONFormatter_VariousMessageSizes/VeryLarge-8","57.96","85.23","47.05","0","0","0","0","47.5","65.48","68.87","87.56"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkOptimizedJSONFormatter_WithField-8","26.6","27.15","2.07","0","0","0","0","26.51","26.89","26.69","27.5"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/text/BenchmarkFormat_HotPath-8","8.007","5.032","-37.15","0","0","0","0","6.395","8.976","4.683","6.407"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/text/BenchmarkFormatter_AllLevels/level_DEBUG-8","3.522","3.536","0.4","0","0","0","0","3.507","3.525","3.528","3.549"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/text/BenchmarkFormatter_AllLevels/level_ERROR-8","3.55","3.584","0.96","0","0","0","0","3.546","3.921","3.536","4.888"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/text/BenchmarkFormatter_AllLevels/level_FATAL-8","5.643","6.267","11.06","0","0","0","0","5.351","6.483","5.53","6.69"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/text/BenchmarkFormatter_AllLevels/level_INFO-8","3.533","3.517","-0.45","0","0","0","0","3.519","3.55","3.512","3.527"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/text/BenchmarkFormatter_AllLevels/level_TRACE-8","3.521","3.534","0.37","0","0","0","0","3.519","3.542","3.518","3.542"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/text/BenchmarkFormatter_AllLevels/level_WARN-8","3.529","3.521","-0.23","0","0","0","0","3.523","3.548","3.519","3.53"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/text/BenchmarkFormatter_CallerDigitCount/line_10-8","14","15.26","9","0","0","0","0","13.95","15.49","13.41","15.67"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/text/BenchmarkFormatter_CallerDigitCount/line_1000-8","19.45","22.73","16.86","0","0","0","0","17.21","22.18","22.4","26.06"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/text/BenchmarkFormatter_CallerDigitCount/line_10000-8","20.84","21.97","5.42","0","0","0","0","19.61","27.17","20.35","31.75"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/text/BenchmarkFormatter_CallerDigitCount/line_999-8","11.69","12.94","10.69","0","0","0","0","10.17","15.21","11.99","14.06"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/text/BenchmarkFormatter_Concurrent-8","1.266","1.322","4.42","0","0","0","0","1.251","1.282","1.268","1.413"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/text/BenchmarkFormatter_LargeMessage-8","11.64","11.72","0.69","0","0","0","0","11.35","11.74","11.33","11.76"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/text/BenchmarkFormatter_SimpleMessage-8","3.012","3.038","0.86","0","0","0","0","2.978","3.024","2.98","3.042"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/text/BenchmarkFormatter_WithCaller-8","9.808","9.788","-0.2","0","0","0","0","9.79","9.81","9.668","9.885"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/text/BenchmarkFormatter_ZeroAllocStrict-8","6.817","6.449","-5.4","0","0","0","0","6.222","6.948","5.882","6.543"
"root","github.com/go-gen-ecosystem/halolog/adapters/middleware/BenchmarkAsyncAdapter_Info_HelloWorld-8","118.7","248.6","109.44","10","21","0","0","102.8","125.6","245.2","257"
"root","github.com/go-gen-ecosystem/halolog/adapters/middleware/BenchmarkAsyncAdapter_WithField_Info_HelloWorld-8","259.2","262.8","1.39","8","11","0","0","100.8","260","259.5","263.6"
"root","github.com/go-gen-ecosystem/halolog/adapters/outputs/http/BenchmarkHTTPAdapter_Write-8","73.37","88.13","20.12","70","75","0","0","59.22","74.93","82.58","243.7"
"root","github.com/go-gen-ecosystem/halolog/adapters/outputs/http/BenchmarkHTTPAdapter_WriteWithFormatter-8","54444","47944","-11.94","8609","8686","80","80","50688","55977","43329","48163"
"root","github.com/go-gen-ecosystem/halolog/adapters/outputs/http/BenchmarkStreamingHTTPAdapter_Write-8","48737","41192","-15.48","8598","8531","79","79","46935","56777","40884","41846"
"root","github.com/go-gen-ecosystem/halolog/alerts/BenchmarkSlackSender_Send-8","11.4","11.41","0.09","0","0","0","0","11.39","11.41","11.39","11.45"
"root","github.com/go-gen-ecosystem/halolog/core/BenchmarkEntry-8","19.93","26.49","32.92","0","0","0","0","19.41","23.48","20.1","26.49"
"root","github.com/go-gen-ecosystem/halolog/core/BenchmarkEntryToLogEntry-8","61.87","64.43","4.14","112","112","1","1","59.83","62.3","59.5","66.92"
"root","github.com/go-gen-ecosystem/halolog/core/BenchmarkLoggerInfo-8","26.69","26.99","1.12","0","0","0","0","26.6","26.82","26.59","27.22"
"root","github.com/go-gen-ecosystem/halolog/core/BenchmarkLoggerInfoDisabled-8","0.5897","0.5941","0.75","0","0","0","0","0.5869","0.5922","0.5925","0.5964"
"root","github.com/go-gen-ecosystem/halolog/core/BenchmarkLoggerInfoDiscard-8","0.7915","0.7916","0.01","0","0","0","0","0.7872","0.806","0.787","0.7944"
"root","github.com/go-gen-ecosystem/halolog/core/BenchmarkLoggerTyped1FieldDiscard-8","37.81","28.28","-25.2","0","0","0","0","21.57","40.54","22.11","33.1"
"root","github.com/go-gen-ecosystem/halolog/core/BenchmarkLoggerWithField10Fields-8","54.82","59.53","8.59","0","0","0","0","52.72","67.02","59.11","76.29"
"root","github.com/go-gen-ecosystem/halolog/core/BenchmarkLoggerWithField1Field-8","14.05","18.76","33.52","0","0","0","0","12.22","14.82","15.31","19.01"
"root","github.com/go-gen-ecosystem/halolog/core/BenchmarkLoggerWithField1FieldDiscard-8","12.83","16.4","27.83","0","0","0","0","11.93","17.44","14.92","18.49"
"root","github.com/go-gen-ecosystem/halolog/core/BenchmarkLoggerWithField20Fields-8","101.9","134.1","31.6","0","0","0","0","94.33","120.7","99.5","150.5"
"root","github.com/go-gen-ecosystem/halolog/core/BenchmarkLoggerWithField5Fields-8","48.76","46.1","-5.46","0","0","0","0","37.13","49.85","34.63","46.5"
"root","github.com/go-gen-ecosystem/halolog/core/BenchmarkLoggerWithFieldMetrics-8","40.68","36.59","-10.05","0","0","0","0","37.74","42.42","31.9","37.46"
"root","github.com/go-gen-ecosystem/halolog/core/BenchmarkParallelLogging-8","143.5","147","2.44","0","0","0","0","141.5","143.9","142.8","147.5"
"root","github.com/go-gen-ecosystem/halolog/fielddict/BenchmarkFieldDict_MemoryAllocation/Lookup_Allocations-8","16.97","17.01","0.24","0","0","0","0","16.97","17.02","17","17.01"
